time,dvol_open,dvol_close
2021-03-21 16:00:00+00:00,,
2021-03-21 17:00:00+00:00,,
2021-03-21 18:00:00+00:00,,
2021-03-21 19:00:00+00:00,,
2021-03-21 20:00:00+00:00,,
2021-03-21 21:00:00+00:00,,
2021-03-21 22:00:00+00:00,,
2021-03-21 23:00:00+00:00,,
2021-03-22 00:00:00+00:00,,
2021-03-22 01:00:00+00:00,,
2021-03-22 02:00:00+00:00,,
2021-03-22 03:00:00+00:00,,
2021-03-22 04:00:00+00:00,,
2021-03-22 05:00:00+00:00,,
2021-03-22 06:00:00+00:00,,
2021-03-22 07:00:00+00:00,,
2021-03-22 08:00:00+00:00,,
2021-03-22 09:00:00+00:00,,
2021-03-22 10:00:00+00:00,,
2021-03-22 11:00:00+00:00,,
2021-03-22 12:00:00+00:00,,
2021-03-22 13:00:00+00:00,,
2021-03-22 14:00:00+00:00,,
2021-03-22 15:00:00+00:00,,
2021-03-22 16:00:00+00:00,,
2021-03-22 17:00:00+00:00,,
2021-03-22 18:00:00+00:00,,
2021-03-22 19:00:00+00:00,,
2021-03-22 20:00:00+00:00,,
2021-03-22 21:00:00+00:00,,
2021-03-22 22:00:00+00:00,,
2021-03-22 23:00:00+00:00,,
2021-03-23 00:00:00+00:00,,
2021-03-23 01:00:00+00:00,,
2021-03-23 02:00:00+00:00,,
2021-03-23 03:00:00+00:00,,
2021-03-23 04:00:00+00:00,,
2021-03-23 05:00:00+00:00,,
2021-03-23 06:00:00+00:00,,
2021-03-23 07:00:00+00:00,,
2021-03-23 08:00:00+00:00,,
2021-03-23 09:00:00+00:00,,
2021-03-23 10:00:00+00:00,,
2021-03-23 11:00:00+00:00,,
2021-03-23 12:00:00+00:00,,
2021-03-23 13:00:00+00:00,,
2021-03-23 14:00:00+00:00,,
2021-03-23 15:00:00+00:00,,
2021-03-23 16:00:00+00:00,,
2021-03-23 17:00:00+00:00,,
2021-03-23 18:00:00+00:00,,
2021-03-23 19:00:00+00:00,,
2021-03-23 20:00:00+00:00,,
2021-03-23 21:00:00+00:00,,
2021-03-23 22:00:00+00:00,,
2021-03-23 23:00:00+00:00,,
2021-03-24 00:00:00+00:00,94.18,93.86
2021-03-24 01:00:00+00:00,93.86,94.35
2021-03-24 02:00:00+00:00,94.35,94.65
2021-03-24 03:00:00+00:00,94.65,95.07
2021-03-24 04:00:00+00:00,95.07,94.18
2021-03-24 05:00:00+00:00,94.18,93.41
2021-03-24 06:00:00+00:00,93.41,93.76
2021-03-24 07:00:00+00:00,93.76,93.2
2021-03-24 08:00:00+00:00,93.19,93.24
2021-03-24 09:00:00+00:00,93.24,93.79
2021-03-24 10:00:00+00:00,93.79,93.41
2021-03-24 11:00:00+00:00,93.41,94.13
2021-03-24 12:00:00+00:00,94.13,94.64
2021-03-24 13:00:00+00:00,94.64,94.23
2021-03-24 14:00:00+00:00,94.23,93.16
2021-03-24 15:00:00+00:00,93.16,93.35
2021-03-24 16:00:00+00:00,93.35,93.54
2021-03-24 17:00:00+00:00,93.54,93.6
2021-03-24 18:00:00+00:00,93.59,93.47
2021-03-24 19:00:00+00:00,93.46,94.47
2021-03-24 20:00:00+00:00,94.48,102.87
2021-03-24 21:00:00+00:00,102.86,101.94
2021-03-24 22:00:00+00:00,101.94,105.43
2021-03-24 23:00:00+00:00,105.42,106.73
2021-03-25 00:00:00+00:00,106.73,107.62
2021-03-25 01:00:00+00:00,107.62,108.03
2021-03-25 02:00:00+00:00,108.03,108.19
2021-03-25 03:00:00+00:00,108.19,108.1
2021-03-25 04:00:00+00:00,108.1,108.63
2021-03-25 05:00:00+00:00,108.64,108.45
2021-03-25 06:00:00+00:00,108.45,108.73
2021-03-25 07:00:00+00:00,108.73,108.26
2021-03-25 08:00:00+00:00,108.25,106.46
2021-03-25 09:00:00+00:00,106.46,106.46
2021-03-25 10:00:00+00:00,106.46,105.07
2021-03-25 11:00:00+00:00,105.07,105.01
2021-03-25 12:00:00+00:00,105.01,105.01
2021-03-25 13:00:00+00:00,105.01,104.65
2021-03-25 14:00:00+00:00,104.65,104.6
2021-03-25 15:00:00+00:00,104.6,104.76
2021-03-25 16:00:00+00:00,104.76,104.41
2021-03-25 17:00:00+00:00,104.41,104.6
2021-03-25 18:00:00+00:00,104.6,104.33
2021-03-25 19:00:00+00:00,104.33,104.83
2021-03-25 20:00:00+00:00,104.83,104.75
2021-03-25 21:00:00+00:00,104.75,104.89
2021-03-25 22:00:00+00:00,104.89,105.69
2021-03-25 23:00:00+00:00,105.69,105.39
2021-03-26 00:00:00+00:00,105.38,103.47
2021-03-26 01:00:00+00:00,103.47,105.45
2021-03-26 02:00:00+00:00,105.45,105.48
2021-03-26 03:00:00+00:00,105.48,105.24
2021-03-26 04:00:00+00:00,105.24,105.03
2021-03-26 05:00:00+00:00,105.03,105.03
2021-03-26 06:00:00+00:00,105.03,102.27
2021-03-26 07:00:00+00:00,102.27,99.12
2021-03-26 08:00:00+00:00,99.14,96.5
2021-03-26 09:00:00+00:00,96.51,93.99
2021-03-26 10:00:00+00:00,93.99,93.37
2021-03-26 11:00:00+00:00,93.37,93.03
2021-03-26 12:00:00+00:00,93.03,92.93
2021-03-26 13:00:00+00:00,92.93,93.08
2021-03-26 14:00:00+00:00,93.08,92.86
2021-03-26 15:00:00+00:00,92.86,91.47
2021-03-26 16:00:00+00:00,91.47,85.64
2021-03-26 17:00:00+00:00,85.65,86.65
2021-03-26 18:00:00+00:00,86.66,87.02
2021-03-26 19:00:00+00:00,87.02,87.16
2021-03-26 20:00:00+00:00,87.16,88.0
2021-03-26 21:00:00+00:00,87.99,88.55
2021-03-26 22:00:00+00:00,88.55,89.96
2021-03-26 23:00:00+00:00,89.97,90.27
2021-03-27 00:00:00+00:00,90.28,89.95
2021-03-27 01:00:00+00:00,89.95,89.91
2021-03-27 02:00:00+00:00,89.91,89.62
2021-03-27 03:00:00+00:00,89.62,87.58
2021-03-27 04:00:00+00:00,87.58,87.54
2021-03-27 05:00:00+00:00,87.54,87.48
2021-03-27 06:00:00+00:00,87.49,86.87
2021-03-27 07:00:00+00:00,86.87,86.93
2021-03-27 08:00:00+00:00,86.95,85.53
2021-03-27 09:00:00+00:00,85.53,85.47
2021-03-27 10:00:00+00:00,85.47,85.88
2021-03-27 11:00:00+00:00,85.87,86.21
2021-03-27 12:00:00+00:00,86.21,86.64
2021-03-27 13:00:00+00:00,86.64,87.04
2021-03-27 14:00:00+00:00,87.04,87.01
2021-03-27 15:00:00+00:00,87.01,87.2
2021-03-27 16:00:00+00:00,87.2,86.8
2021-03-27 17:00:00+00:00,86.79,87.07
2021-03-27 18:00:00+00:00,87.07,86.97
2021-03-27 19:00:00+00:00,86.97,87.06
2021-03-27 20:00:00+00:00,87.06,87.18
2021-03-27 21:00:00+00:00,87.18,87.24
2021-03-27 22:00:00+00:00,87.24,87.27
2021-03-27 23:00:00+00:00,87.26,87.46
2021-03-28 00:00:00+00:00,87.46,87.81
2021-03-28 01:00:00+00:00,87.81,88.08
2021-03-28 02:00:00+00:00,88.08,87.79
2021-03-28 03:00:00+00:00,87.79,87.96
2021-03-28 04:00:00+00:00,87.96,87.72
2021-03-28 05:00:00+00:00,87.72,86.63
2021-03-28 06:00:00+00:00,86.63,86.43
2021-03-28 07:00:00+00:00,86.43,85.99
2021-03-28 08:00:00+00:00,86.0,85.68
2021-03-28 09:00:00+00:00,85.68,84.34
2021-03-28 10:00:00+00:00,84.33,84.58
2021-03-28 11:00:00+00:00,84.58,84.56
2021-03-28 12:00:00+00:00,84.57,85.15
2021-03-28 13:00:00+00:00,85.14,84.98
2021-03-28 14:00:00+00:00,84.97,83.66
2021-03-28 15:00:00+00:00,83.66,82.81
2021-03-28 16:00:00+00:00,82.81,84.13
2021-03-28 17:00:00+00:00,84.12,84.13
2021-03-28 18:00:00+00:00,84.13,84.61
2021-03-28 19:00:00+00:00,84.61,84.69
2021-03-28 20:00:00+00:00,84.69,84.84
2021-03-28 21:00:00+00:00,84.84,84.87
2021-03-28 22:00:00+00:00,84.87,84.95
2021-03-28 23:00:00+00:00,84.94,84.22
2021-03-29 00:00:00+00:00,84.21,83.96
2021-03-29 01:00:00+00:00,83.96,84.63
2021-03-29 02:00:00+00:00,84.63,84.35
2021-03-29 03:00:00+00:00,84.35,84.7
2021-03-29 04:00:00+00:00,84.7,84.81
2021-03-29 05:00:00+00:00,84.81,84.46
2021-03-29 06:00:00+00:00,84.46,85.62
2021-03-29 07:00:00+00:00,85.62,84.66
2021-03-29 08:00:00+00:00,84.67,85.12
2021-03-29 09:00:00+00:00,85.11,85.12
2021-03-29 10:00:00+00:00,85.12,85.71
2021-03-29 11:00:00+00:00,85.71,85.58
2021-03-29 12:00:00+00:00,85.58,86.41
2021-03-29 13:00:00+00:00,86.41,86.88
2021-03-29 14:00:00+00:00,86.88,87.26
2021-03-29 15:00:00+00:00,87.26,88.35
2021-03-29 16:00:00+00:00,88.36,88.36
2021-03-29 17:00:00+00:00,88.35,89.11
2021-03-29 18:00:00+00:00,89.11,88.83
2021-03-29 19:00:00+00:00,88.83,85.76
2021-03-29 20:00:00+00:00,85.76,86.7
2021-03-29 21:00:00+00:00,86.71,87.13
2021-03-29 22:00:00+00:00,87.13,87.63
2021-03-29 23:00:00+00:00,87.63,88.24
2021-03-30 00:00:00+00:00,88.24,88.65
2021-03-30 01:00:00+00:00,88.65,88.77
2021-03-30 02:00:00+00:00,88.77,88.62
2021-03-30 03:00:00+00:00,88.62,88.92
2021-03-30 04:00:00+00:00,88.92,89.59
2021-03-30 05:00:00+00:00,89.59,89.76
2021-03-30 06:00:00+00:00,89.76,89.93
2021-03-30 07:00:00+00:00,89.93,88.82
2021-03-30 08:00:00+00:00,88.74,89.77
2021-03-30 09:00:00+00:00,89.77,87.28
2021-03-30 10:00:00+00:00,87.28,89.81
2021-03-30 11:00:00+00:00,89.81,91.5
2021-03-30 12:00:00+00:00,91.5,88.68
2021-03-30 13:00:00+00:00,88.68,88.98
2021-03-30 14:00:00+00:00,88.98,88.8
2021-03-30 15:00:00+00:00,88.8,88.66
2021-03-30 16:00:00+00:00,88.66,91.25
2021-03-30 17:00:00+00:00,91.25,91.68
2021-03-30 18:00:00+00:00,91.68,88.4
2021-03-30 19:00:00+00:00,88.4,89.18
2021-03-30 20:00:00+00:00,89.18,89.43
2021-03-30 21:00:00+00:00,89.43,88.79
2021-03-30 22:00:00+00:00,88.79,89.02
2021-03-30 23:00:00+00:00,89.02,89.19
2021-03-31 00:00:00+00:00,89.19,89.59
2021-03-31 01:00:00+00:00,89.59,89.39
2021-03-31 02:00:00+00:00,89.39,87.92
2021-03-31 03:00:00+00:00,87.92,85.84
2021-03-31 04:00:00+00:00,85.85,86.06
2021-03-31 05:00:00+00:00,86.06,86.23
2021-03-31 06:00:00+00:00,86.22,87.32
2021-03-31 07:00:00+00:00,87.32,86.88
2021-03-31 08:00:00+00:00,86.88,86.49
2021-03-31 09:00:00+00:00,86.49,86.38
2021-03-31 10:00:00+00:00,86.38,86.61
2021-03-31 11:00:00+00:00,86.61,86.79
2021-03-31 12:00:00+00:00,86.78,87.39
2021-03-31 13:00:00+00:00,87.4,87.94
2021-03-31 14:00:00+00:00,87.94,87.48
2021-03-31 15:00:00+00:00,87.48,88.62
2021-03-31 16:00:00+00:00,88.62,88.83
2021-03-31 17:00:00+00:00,88.83,88.44
2021-03-31 18:00:00+00:00,88.44,90.29
2021-03-31 19:00:00+00:00,90.28,92.8
2021-03-31 20:00:00+00:00,92.8,95.26
2021-03-31 21:00:00+00:00,95.26,94.88
2021-03-31 22:00:00+00:00,94.88,93.65
2021-03-31 23:00:00+00:00,93.65,93.88
2021-04-01 00:00:00+00:00,93.88,93.46
2021-04-01 01:00:00+00:00,93.46,93.39
2021-04-01 02:00:00+00:00,93.39,91.98
2021-04-01 03:00:00+00:00,91.98,92.24
2021-04-01 04:00:00+00:00,92.24,91.67
2021-04-01 05:00:00+00:00,91.67,90.67
2021-04-01 06:00:00+00:00,90.67,90.27
2021-04-01 07:00:00+00:00,90.27,90.44
2021-04-01 08:00:00+00:00,90.44,89.98
2021-04-01 09:00:00+00:00,89.97,90.37
2021-04-01 10:00:00+00:00,90.36,89.8
2021-04-01 11:00:00+00:00,89.8,89.73
2021-04-01 12:00:00+00:00,89.73,89.83
2021-04-01 13:00:00+00:00,89.83,86.67
2021-04-01 14:00:00+00:00,86.67,87.02
2021-04-01 15:00:00+00:00,87.03,87.05
2021-04-01 16:00:00+00:00,87.05,87.1
2021-04-01 17:00:00+00:00,87.1,87.1
2021-04-01 18:00:00+00:00,87.1,87.44
2021-04-01 19:00:00+00:00,87.44,88.58
2021-04-01 20:00:00+00:00,88.58,88.63
2021-04-01 21:00:00+00:00,88.63,88.35
2021-04-01 22:00:00+00:00,88.35,88.79
2021-04-01 23:00:00+00:00,88.79,89.09
2021-04-02 00:00:00+00:00,89.09,90.31
2021-04-02 01:00:00+00:00,90.31,90.63
2021-04-02 02:00:00+00:00,90.63,92.51
2021-04-02 03:00:00+00:00,92.52,92.9
2021-04-02 04:00:00+00:00,92.9,93.08
2021-04-02 05:00:00+00:00,93.08,93.01
2021-04-02 06:00:00+00:00,93.01,93.01
2021-04-02 07:00:00+00:00,93.01,93.42
2021-04-02 08:00:00+00:00,93.41,92.42
2021-04-02 09:00:00+00:00,92.42,90.33
2021-04-02 10:00:00+00:00,90.33,89.64
2021-04-02 11:00:00+00:00,89.64,89.63
2021-04-02 12:00:00+00:00,89.63,89.76
2021-04-02 13:00:00+00:00,89.76,89.78
2021-04-02 14:00:00+00:00,89.78,90.56
2021-04-02 15:00:00+00:00,90.57,91.64
2021-04-02 16:00:00+00:00,91.64,92.0
2021-04-02 17:00:00+00:00,92.0,91.21
2021-04-02 18:00:00+00:00,91.2,91.22
2021-04-02 19:00:00+00:00,91.22,91.71
2021-04-02 20:00:00+00:00,91.71,92.49
2021-04-02 21:00:00+00:00,92.48,92.67
2021-04-02 22:00:00+00:00,92.66,92.78
2021-04-02 23:00:00+00:00,92.78,94.81
2021-04-03 00:00:00+00:00,94.82,94.79
2021-04-03 01:00:00+00:00,94.79,94.79
2021-04-03 02:00:00+00:00,94.79,95.08
2021-04-03 03:00:00+00:00,95.08,94.61
2021-04-03 04:00:00+00:00,94.61,94.76
2021-04-03 05:00:00+00:00,94.76,94.47
2021-04-03 06:00:00+00:00,94.46,94.72
2021-04-03 07:00:00+00:00,94.72,94.48
2021-04-03 08:00:00+00:00,94.48,94.53
2021-04-03 09:00:00+00:00,94.53,95.01
2021-04-03 10:00:00+00:00,95.01,94.94
2021-04-03 11:00:00+00:00,94.95,95.13
2021-04-03 12:00:00+00:00,95.13,95.26
2021-04-03 13:00:00+00:00,95.26,95.45
2021-04-03 14:00:00+00:00,95.45,95.14
2021-04-03 15:00:00+00:00,95.14,94.62
2021-04-03 16:00:00+00:00,94.62,94.51
2021-04-03 17:00:00+00:00,94.51,94.06
2021-04-03 18:00:00+00:00,94.06,95.46
2021-04-03 19:00:00+00:00,95.46,96.42
2021-04-03 20:00:00+00:00,96.42,95.86
2021-04-03 21:00:00+00:00,95.86,95.39
2021-04-03 22:00:00+00:00,95.39,95.3
2021-04-03 23:00:00+00:00,95.3,95.17
2021-04-04 00:00:00+00:00,95.17,95.29
2021-04-04 01:00:00+00:00,95.29,95.37
2021-04-04 02:00:00+00:00,95.37,94.92
2021-04-04 03:00:00+00:00,94.92,94.5
2021-04-04 04:00:00+00:00,94.5,92.04
2021-04-04 05:00:00+00:00,92.04,92.32
2021-04-04 06:00:00+00:00,92.32,92.23
2021-04-04 07:00:00+00:00,92.23,92.63
2021-04-04 08:00:00+00:00,92.63,92.65
2021-04-04 09:00:00+00:00,92.65,92.83
2021-04-04 10:00:00+00:00,92.85,90.64
2021-04-04 11:00:00+00:00,90.64,90.73
2021-04-04 12:00:00+00:00,90.74,93.53
2021-04-04 13:00:00+00:00,93.53,93.44
2021-04-04 14:00:00+00:00,93.44,93.29
2021-04-04 15:00:00+00:00,93.29,93.68
2021-04-04 16:00:00+00:00,93.68,93.78
2021-04-04 17:00:00+00:00,93.78,93.65
2021-04-04 18:00:00+00:00,93.65,93.93
2021-04-04 19:00:00+00:00,93.93,93.85
2021-04-04 20:00:00+00:00,93.85,93.8
2021-04-04 21:00:00+00:00,93.8,93.94
2021-04-04 22:00:00+00:00,93.95,93.49
2021-04-04 23:00:00+00:00,93.49,93.72
2021-04-05 00:00:00+00:00,93.72,93.35
2021-04-05 01:00:00+00:00,93.35,93.3
2021-04-05 02:00:00+00:00,93.3,93.0
2021-04-05 03:00:00+00:00,93.0,92.91
2021-04-05 04:00:00+00:00,92.91,92.23
2021-04-05 05:00:00+00:00,92.23,92.47
2021-04-05 06:00:00+00:00,92.47,92.74
2021-04-05 07:00:00+00:00,92.74,92.82
2021-04-05 08:00:00+00:00,92.81,92.24
2021-04-05 09:00:00+00:00,92.24,90.7
2021-04-05 10:00:00+00:00,90.7,91.4
2021-04-05 11:00:00+00:00,91.4,91.45
2021-04-05 12:00:00+00:00,91.45,91.57
2021-04-05 13:00:00+00:00,91.57,92.05
2021-04-05 14:00:00+00:00,92.05,93.74
2021-04-05 15:00:00+00:00,93.74,91.12
2021-04-05 16:00:00+00:00,91.12,91.24
2021-04-05 17:00:00+00:00,91.24,91.0
2021-04-05 18:00:00+00:00,91.0,90.69
2021-04-05 19:00:00+00:00,90.69,90.79
2021-04-05 20:00:00+00:00,90.79,90.89
2021-04-05 21:00:00+00:00,90.89,91.64
2021-04-05 22:00:00+00:00,91.65,91.95
2021-04-05 23:00:00+00:00,91.95,91.94
2021-04-06 00:00:00+00:00,91.94,92.84
2021-04-06 01:00:00+00:00,92.84,93.17
2021-04-06 02:00:00+00:00,93.17,93.24
2021-04-06 03:00:00+00:00,93.24,93.04
2021-04-06 04:00:00+00:00,93.04,93.15
2021-04-06 05:00:00+00:00,93.15,93.34
2021-04-06 06:00:00+00:00,93.34,93.09
2021-04-06 07:00:00+00:00,93.09,91.97
2021-04-06 08:00:00+00:00,91.98,91.5
2021-04-06 09:00:00+00:00,91.5,92.47
2021-04-06 10:00:00+00:00,92.47,92.44
2021-04-06 11:00:00+00:00,92.45,92.69
2021-04-06 12:00:00+00:00,92.69,93.01
2021-04-06 13:00:00+00:00,93.01,92.7
2021-04-06 14:00:00+00:00,92.7,92.86
2021-04-06 15:00:00+00:00,92.86,92.57
2021-04-06 16:00:00+00:00,92.57,92.39
2021-04-06 17:00:00+00:00,92.39,92.69
2021-04-06 18:00:00+00:00,92.69,92.71
2021-04-06 19:00:00+00:00,92.71,92.47
2021-04-06 20:00:00+00:00,92.47,92.38
2021-04-06 21:00:00+00:00,92.38,92.53
2021-04-06 22:00:00+00:00,92.53,92.46
2021-04-06 23:00:00+00:00,92.46,92.31
2021-04-07 00:00:00+00:00,92.31,92.05
2021-04-07 01:00:00+00:00,92.05,91.88
2021-04-07 02:00:00+00:00,91.88,91.14
2021-04-07 03:00:00+00:00,91.14,90.34
2021-04-07 04:00:00+00:00,90.34,90.28
2021-04-07 05:00:00+00:00,90.28,91.11
2021-04-07 06:00:00+00:00,91.11,90.94
2021-04-07 07:00:00+00:00,90.94,90.04
2021-04-07 08:00:00+00:00,90.01,90.25
2021-04-07 09:00:00+00:00,90.25,88.96
2021-04-07 10:00:00+00:00,88.96,89.26
2021-04-07 11:00:00+00:00,89.26,88.93
2021-04-07 12:00:00+00:00,88.93,89.51
2021-04-07 13:00:00+00:00,89.51,89.23
2021-04-07 14:00:00+00:00,89.23,88.88
2021-04-07 15:00:00+00:00,88.87,88.76
2021-04-07 16:00:00+00:00,88.77,88.94
2021-04-07 17:00:00+00:00,88.94,88.25
2021-04-07 18:00:00+00:00,88.25,88.08
2021-04-07 19:00:00+00:00,88.08,87.97
2021-04-07 20:00:00+00:00,87.98,88.54
2021-04-07 21:00:00+00:00,88.55,88.87
2021-04-07 22:00:00+00:00,88.86,88.97
2021-04-07 23:00:00+00:00,88.97,88.32
2021-04-08 00:00:00+00:00,88.32,88.98
2021-04-08 01:00:00+00:00,88.97,88.44
2021-04-08 02:00:00+00:00,88.44,87.91
2021-04-08 03:00:00+00:00,87.91,88.01
2021-04-08 04:00:00+00:00,88.01,88.32
2021-04-08 05:00:00+00:00,88.32,88.27
2021-04-08 06:00:00+00:00,88.27,87.77
2021-04-08 07:00:00+00:00,87.77,87.72
2021-04-08 08:00:00+00:00,87.72,85.92
2021-04-08 09:00:00+00:00,85.92,85.67
2021-04-08 10:00:00+00:00,85.67,85.66
2021-04-08 11:00:00+00:00,85.66,84.38
2021-04-08 12:00:00+00:00,84.38,84.06
2021-04-08 13:00:00+00:00,84.06,83.95
2021-04-08 14:00:00+00:00,83.95,84.31
2021-04-08 15:00:00+00:00,84.31,85.32
2021-04-08 16:00:00+00:00,85.32,86.71
2021-04-08 17:00:00+00:00,86.71,86.52
2021-04-08 18:00:00+00:00,86.52,86.48
2021-04-08 19:00:00+00:00,86.48,86.46
2021-04-08 20:00:00+00:00,86.46,86.39
2021-04-08 21:00:00+00:00,86.39,86.28
2021-04-08 22:00:00+00:00,86.28,86.54
2021-04-08 23:00:00+00:00,86.54,86.21
2021-04-09 00:00:00+00:00,86.21,88.72
2021-04-09 01:00:00+00:00,88.72,88.88
2021-04-09 02:00:00+00:00,88.88,88.21
2021-04-09 03:00:00+00:00,88.21,88.14
2021-04-09 04:00:00+00:00,88.14,87.08
2021-04-09 05:00:00+00:00,87.08,84.87
2021-04-09 06:00:00+00:00,84.87,85.75
2021-04-09 07:00:00+00:00,85.75,85.57
2021-04-09 08:00:00+00:00,85.56,85.35
2021-04-09 09:00:00+00:00,85.35,84.89
2021-04-09 10:00:00+00:00,84.89,85.3
2021-04-09 11:00:00+00:00,85.3,85.96
2021-04-09 12:00:00+00:00,85.96,85.31
2021-04-09 13:00:00+00:00,85.31,85.48
2021-04-09 14:00:00+00:00,85.48,85.75
2021-04-09 15:00:00+00:00,85.75,85.69
2021-04-09 16:00:00+00:00,85.69,84.03
2021-04-09 17:00:00+00:00,84.03,83.52
2021-04-09 18:00:00+00:00,83.53,83.4
2021-04-09 19:00:00+00:00,83.4,83.57
2021-04-09 20:00:00+00:00,83.57,84.01
2021-04-09 21:00:00+00:00,84.01,84.75
2021-04-09 22:00:00+00:00,84.75,84.89
2021-04-09 23:00:00+00:00,84.89,84.58
2021-04-10 00:00:00+00:00,84.58,84.75
2021-04-10 01:00:00+00:00,84.75,84.87
2021-04-10 02:00:00+00:00,84.87,85.73
2021-04-10 03:00:00+00:00,85.73,87.4
2021-04-10 04:00:00+00:00,87.4,88.76
2021-04-10 05:00:00+00:00,88.76,90.3
2021-04-10 06:00:00+00:00,90.3,90.43
2021-04-10 07:00:00+00:00,90.43,90.61
2021-04-10 08:00:00+00:00,90.6,91.2
2021-04-10 09:00:00+00:00,91.2,91.9
2021-04-10 10:00:00+00:00,91.9,92.02
2021-04-10 11:00:00+00:00,92.02,91.63
2021-04-10 12:00:00+00:00,91.62,91.32
2021-04-10 13:00:00+00:00,91.32,91.76
2021-04-10 14:00:00+00:00,91.76,91.72
2021-04-10 15:00:00+00:00,91.72,91.71
2021-04-10 16:00:00+00:00,91.71,91.49
2021-04-10 17:00:00+00:00,91.49,91.37
2021-04-10 18:00:00+00:00,91.37,91.21
2021-04-10 19:00:00+00:00,91.21,90.81
2021-04-10 20:00:00+00:00,90.81,90.16
2021-04-10 21:00:00+00:00,90.16,90.96
2021-04-10 22:00:00+00:00,90.96,90.34
2021-04-10 23:00:00+00:00,90.34,90.53
2021-04-11 00:00:00+00:00,90.53,90.88
2021-04-11 01:00:00+00:00,90.88,91.15
2021-04-11 02:00:00+00:00,91.15,91.22
2021-04-11 03:00:00+00:00,91.22,91.56
2021-04-11 04:00:00+00:00,91.56,90.9
2021-04-11 05:00:00+00:00,90.9,90.39
2021-04-11 06:00:00+00:00,90.4,90.34
2021-04-11 07:00:00+00:00,90.34,90.24
2021-04-11 08:00:00+00:00,90.24,90.07
2021-04-11 09:00:00+00:00,90.07,89.92
2021-04-11 10:00:00+00:00,89.92,91.24
2021-04-11 11:00:00+00:00,91.24,91.53
2021-04-11 12:00:00+00:00,91.54,91.68
2021-04-11 13:00:00+00:00,91.68,91.38
2021-04-11 14:00:00+00:00,91.38,91.78
2021-04-11 15:00:00+00:00,91.78,91.91
2021-04-11 16:00:00+00:00,91.91,92.54
2021-04-11 17:00:00+00:00,92.54,92.18
2021-04-11 18:00:00+00:00,92.18,92.45
2021-04-11 19:00:00+00:00,92.45,92.79
2021-04-11 20:00:00+00:00,92.79,92.57
2021-04-11 21:00:00+00:00,92.57,92.47
2021-04-11 22:00:00+00:00,92.46,92.79
2021-04-11 23:00:00+00:00,92.79,93.35
2021-04-12 00:00:00+00:00,93.35,93.32
2021-04-12 01:00:00+00:00,93.32,92.73
2021-04-12 02:00:00+00:00,92.73,93.23
2021-04-12 03:00:00+00:00,93.23,93.31
2021-04-12 04:00:00+00:00,93.31,93.51
2021-04-12 05:00:00+00:00,93.51,93.01
2021-04-12 06:00:00+00:00,93.02,94.12
2021-04-12 07:00:00+00:00,94.12,96.6
2021-04-12 08:00:00+00:00,96.6,96.87
2021-04-12 09:00:00+00:00,96.87,97.54
2021-04-12 10:00:00+00:00,97.54,96.68
2021-04-12 11:00:00+00:00,96.68,96.8
2021-04-12 12:00:00+00:00,96.8,96.71
2021-04-12 13:00:00+00:00,96.71,96.75
2021-04-12 14:00:00+00:00,96.75,96.69
2021-04-12 15:00:00+00:00,96.69,96.6
2021-04-12 16:00:00+00:00,96.6,96.74
